graph,node,sol,distance,iter,time
3,3,"[3, 2, 3]",1,23,0.0003719329833984375
3,3,"[3, 2, 3]",5,23,0.00037598609924316406
3,3,"[3, 2, 3]",10,23,0.00037384033203125
3,3,"[3, 2, 3]",20,24,0.00037598609924316406
3,3,"[3, 2, 3]",50,30,0.0003972053527832031
3,3,"[3, 2, 3]",100,33,0.0004153251647949219
3,4,"[3, 2, 3]",1,23,0.00037598609924316406
3,4,"[3, 2, 3]",5,23,0.00036978721618652344
3,4,"[3, 2, 3]",10,23,0.0003809928894042969
3,4,"[3, 2, 3]",20,23,0.00037288665771484375
3,4,"[3, 2, 3]",50,23,0.0003712177276611328
3,4,"[3, 2, 3]",100,23,0.0003719329833984375
3,9,"[3, 2, 3]",1,23,0.00038886070251464844
3,9,"[3, 2, 3]",5,23,0.00037789344787597656
3,9,"[3, 2, 3]",10,23,0.00037288665771484375
3,9,"[3, 2, 3]",20,23,0.00037097930908203125
3,9,"[3, 2, 3]",50,23,0.0003731250762939453
3,9,"[3, 2, 3]",100,23,0.0003719329833984375
3,8,"[3, 2, 3]",1,23,0.00038695335388183594
3,8,"[3, 2, 3]",5,23,0.0003719329833984375
3,8,"[3, 2, 3]",10,23,0.00037097930908203125
3,8,"[3, 2, 3]",20,23,0.0003731250762939453
3,8,"[3, 2, 3]",50,23,0.0003769397735595703
3,8,"[3, 2, 3]",100,22,0.0003681182861328125
3,7,"[3, 2, 3]",1,23,0.0003707408905029297
3,7,"[3, 2, 3]",5,23,0.00043272972106933594
3,7,"[3, 2, 3]",10,23,0.0003807544708251953
3,7,"[3, 2, 3]",20,23,0.00037598609924316406
3,7,"[3, 2, 3]",50,22,0.000370025634765625
3,7,"[3, 2, 3]",100,22,0.00036907196044921875
